CodTransaccion,NroFormulario,CodCampus,Marca,Categoria,Tipo,ValUnid,Proveedor,NroSerial,EmpresaResponsable,Estado,Historial
327,966217823,CPU035,Compumax,Equipo de computo,Cpu,,Compumax Computer ,400SN39194,Campuslands,0,[]
327,966217823,MON035,Compumax,Equipo de computo,Monitor,,Compumax Computer ,COM2024CM21070135,Campuslands,0,[]
327,966217823,TEC035,Compumax,Equipo de computo,Teclado,,Compumax Computer ,KBM130090714,Campuslands,0,[]
327,966217823,MOU035,Compumax,Equipo de computo,Mouse,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,CPU036,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON036,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39175,Campuslands,0,[]
327,966217823,TEC036,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070257,Campuslands,0,[]
327,966217823,MOU036,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091739,Campuslands,0,[]
327,966217823,CPU037,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON037,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39206,Campuslands,0,[]
327,966217823,TEC037,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070609,Campuslands,0,[]
327,966217823,MOU037,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091743,Campuslands,0,[]
327,966217823,CPU038,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON038,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39212,Campuslands,0,[]
327,966217823,TEC038,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070778,Campuslands,0,[]
327,966217823,MOU038,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130090742,Campuslands,0,[]
327,966217823,CPU039,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
327,966217823,MON039,Compumax,Equipo de computo,Monitor,,Compumax Computer ,400SN39217,Campuslands,0,[]
327,966217823,TEC039,Compumax,Equipo de computo,Teclado,,Compumax Computer ,COM2024CM21070069,Campuslands,0,[]
327,966217823,MOU039,Compumax,Equipo de computo,Mouse,,Compumax Computer ,KBM130091742,Campuslands,0,[]
327,966217823,CPU040,Compumax,Equipo de computo,Cpu,,Compumax Computer ,Sin serial ,Campuslands,0,[]
